,bx,by,bw,bh,element
225,196,4133,72,15,a
226,280,4133,88,15,a
227,380,4133,67,15,a
228,459,4133,99,15,a
229,570,4133,63,15,a
230,645,4133,50,15,a
231,707,4133,97,15,a
232,816,4133,63,15,a
233,1164,4134,88,15,a
234,1258,4134,88,15,a
235,201,100,1141,38,h1
